                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81728,                 2.9438,                   1.36,                0.00382,                      1,                0.23609,                0.17805,                0.45294,                 3.4101,                 1.1388,             0.00010002,             0.00010002,             0.00010002
                      2,                0.74713,                   2.38,                 1.2187,                0.00374,                      1,                0.51145,                0.38797,                0.41803,                 3.1491,                 1.0332,             0.00021242,             0.00021242,             0.00021242
                      3,                0.77696,                 1.9219,                 1.3032,                0.00374,                      1,                0.45547,                0.37908,                 0.4946,                 3.0519,                 1.1107,              0.0003202,              0.0003202,              0.0003202
                      4,                0.70688,                  2.045,                 1.2025,                0.86884,                0.21429,                  0.624,                 0.4934,                0.51527,                 2.8914,                 1.1459,             0.00042335,             0.00042335,             0.00042335
                      5,                0.71932,                 1.6222,                 1.2089,                0.75708,                0.47653,                0.69042,                 0.4029,                0.96722,                 3.0474,                 1.5971,             0.00052189,             0.00052189,             0.00052189
                      6,                0.85526,                 1.7374,                 1.3941,                0.61445,                 0.7124,                0.69766,                0.51264,                0.86894,                 2.5854,                 1.6034,             0.00061581,             0.00061581,             0.00061581
                      7,                0.74325,                 1.3879,                 1.2639,                0.41072,                0.53114,                0.45826,                0.21605,                 1.0693,                 3.1434,                 1.5385,              0.0007051,              0.0007051,              0.0007051
                      8,                0.73321,                 1.3576,                 1.2871,                0.67965,                0.60557,                 0.5274,                0.33731,                0.88883,                 2.8621,                 1.5176,             0.00078977,             0.00078977,             0.00078977
                      9,                0.82474,                 1.3221,                 1.2738,                0.58268,                0.78571,                0.77866,                0.46225,                0.89902,                 2.6712,                 1.6652,             0.00086983,             0.00086983,             0.00086983
                     10,                0.79674,                 1.3885,                 1.2595,                0.70599,                0.71429,                 0.7809,                0.56408,                0.72363,                 2.4598,                 1.3991,             0.00094526,             0.00094526,             0.00094526
                     11,                0.82282,                 1.3818,                 1.2381,                0.62981,                0.73756,                0.74434,                0.54339,                0.68587,                 2.2508,                 1.3058,              0.0010161,              0.0010161,              0.0010161
                     12,                0.75089,                 1.3572,                 1.2492,                0.74377,                0.53571,                0.64272,                0.44301,                0.76251,                 2.9218,                  1.404,              0.0010823,              0.0010823,              0.0010823
                     13,                0.75165,                 1.3237,                  1.231,                0.39065,                0.64286,                0.53054,                0.37929,                 0.7695,                 2.5833,                 1.3629,              0.0011438,              0.0011438,              0.0011438
                     14,                0.75262,                 1.4254,                 1.2333,                0.61532,                0.79607,                0.77893,                0.58785,                0.68148,                 2.3617,                 1.2254,              0.0012008,              0.0012008,              0.0012008
                     15,                0.82175,                 1.4077,                 1.2857,                0.57452,                0.82143,                0.81336,                0.59915,                0.78972,                 2.1115,                 1.4235,              0.0012049,              0.0012049,              0.0012049
                     16,                0.79654,                 1.4159,                 1.3104,                0.82451,                0.66488,                0.78972,                0.57495,                 0.9222,                 2.0355,                 1.5758,              0.0012049,              0.0012049,              0.0012049
                     17,                0.78497,                 1.3011,                  1.289,                0.52738,                0.67857,                0.73233,                0.49787,                0.99467,                 2.3728,                 1.5892,              0.0011719,              0.0011719,              0.0011719
                     18,                0.80043,                 1.2246,                 1.2289,                 0.6941,                0.53571,                0.62317,                0.50269,                 0.7251,                 2.2149,                 1.3325,              0.0011389,              0.0011389,              0.0011389
                     19,                0.69001,                 1.2102,                  1.199,                0.57222,                0.55993,                0.59848,                0.47301,                0.82081,                 2.2104,                 1.4714,              0.0011059,              0.0011059,              0.0011059
                     20,                0.87414,                 1.3157,                 1.2522,                0.71229,                0.68453,                0.80347,                 0.5618,                0.83363,                 2.0406,                 1.4884,              0.0010729,              0.0010729,              0.0010729
                     21,                0.73303,                 1.1053,                 1.2058,                0.69678,                0.77956,                0.85802,                0.68399,                0.70969,                 1.9516,                 1.3573,              0.0010399,              0.0010399,              0.0010399
                     22,                0.75263,                 1.1609,                 1.2212,                0.72791,                0.79443,                0.84817,                0.63152,                0.72436,                 2.0203,                 1.2945,              0.0010069,              0.0010069,              0.0010069
                     23,                0.68234,                 1.0563,                 1.2052,                0.58864,                0.63838,                0.58006,                0.45292,                0.74015,                 3.0369,                  1.343,             0.00097386,             0.00097386,             0.00097386
